"film","ceremony","name","winner","Year","Rating_IMDB","Oscarstat_totalnoms","Nom_Oscar_bestdirector","Rating_rtcritic","Nom_GoldenGlobe_bestdrama","Win_GoldenGlobe_bestdrama","genre"
"Gandhi",55,"Richard Attenborough, Producer","True",1983,8.1,11,"1",88,0,0,"Biography"
"Gangs of New York",75,"Alberto Grimaldi and Harvey Weinstein, Producers","False",2003,7.5,9,"1",75,1,0,"Crime"
"Get Out",90,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers","False",2018,7.7,4,"1",99,0,0,"Horror"
"Ghost",63,"Lisa Weinstein, Producer","False",1991,7,5,"0",74,0,0,"Drama"
"Gladiator",73,"Douglas Wick, David Franzoni and Branko Lustig, Producers","True",2001,8.5,12,"1",76,1,1,"Action"
"Good Will Hunting",70,"Lawrence Bender, Producer","False",1998,8.3,8,"1",97,1,0,"Drama"
"Gosford Park",74,"Robert Altman, Bob Balaban and David Levy, Producers","False",2002,7.3,7,"1",86,0,0,"Comedy"
"Gravity",86,"Alfonso Cuarón and David Heyman, Producers","False",2014,7.8,10,"1",96,1,0,"Drama"
"Green Book",91,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers","True",2019,8.3,5,"0",94,0,0,"Biography"
"Guess Who's Coming to Dinner",40,"Stanley Kramer, Producer","False",1968,7.8,10,"1",68,1,0,"Comedy"
"Hacksaw Ridge",89,"Bill Mechanic and David Permut, Producers","False",2017,8.3,6,"1",86,1,0,"Biography"
"Hannah and Her Sisters",59,"Robert Greenhut, Producer","False",1987,8,7,"1",93,0,0,"Comedy"
"Heaven Can Wait",51,"Warren Beatty, Producer","False",1979,6.9,12,"1",89,0,0,"Comedy"
"Hell or High Water",89,"Carla Hacken and Julie Yorn, Producers","False",2017,7.7,4,"0",98,1,0,"Crime"
"Hello, Dolly!",42,"Ernest Lehman, Producer","False",1970,7.2,7,"0",44,0,0,"Comedy"
"Her",86,"Megan Ellison, Spike Jonze and Vincent Landay, Producers","False",2014,8,4,"0",95,0,0,"Drama"
"Hidden Figures",89,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers","False",2017,7.9,4,"0",92,0,0,"Biography"
"Hope and Glory",60,"John Boorman, Producer","False",1988,7.4,5,"1",94,0,0,"Comedy"
"How the West Was Won",36,"Bernard Smith, Producer","False",1964,7.1,8,"0",100,0,0,"Western"
"Howards End",65,"Ismail Merchant, Producer","False",1993,7.5,9,"1",92,1,0,"Drama"
"Hugo",84,"Graham King and Martin Scorsese, Producers","False",2012,7.5,11,"1",94,1,0,"Drama"
"In the Bedroom",74,"Graham Leader, Ross Katz and Todd Field, Producers","False",2002,7.5,5,"0",93,1,0,"Crime"
"In the Heat of the Night",40,"Walter Mirisch, Producer","True",1968,8,7,"1",95,1,1,"Crime"
"In the Name of the Father",66,"Jim Sheridan, Producer","False",1994,8.1,7,"1",94,1,0,"Biography"
"Inception",83,"Emma Thomas and Christopher Nolan, Producers","False",2011,8.8,8,"0",86,1,0,"Action"
"Inglourious Basterds",82,"Lawrence Bender, Producer","False",2010,8.3,8,"1",89,1,0,"Drama"
"Jaws",48,"Richard D. Zanuck and David Brown, Producers","False",1976,8,4,"0",97,1,0,"Drama"
"Jerry Maguire",69,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers","False",1997,7.3,5,"0",82,0,0,"Comedy"
"JFK",64,"A. Kitman Ho and Oliver Stone, Producers","False",1992,8,8,"1",84,1,0,"Drama"
"Julia",50,"Richard Roth, Producer","False",1978,7.4,11,"1",73,1,0,"Drama"
"Juno",80,"Lianne Halfon, Mason Novick and Russell Smith, Producers","False",2008,7.5,4,"1",94,0,0,"Comedy"
"Kiss of the Spider Woman",58,"David Weisman, Producer","False",1986,7.4,4,"1",88,1,0,"Drama"
"Kramer vs. Kramer",52,"Stanley R. Jaffe, Producer","True",1980,7.8,9,"1",88,1,1,"Drama"
"L.A. Confidential",70,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers","False",1998,7.3,9,"1",99,1,0,"Crime"
"La La Land",89,"Fred Berger, Jordan Horowitz and Marc Platt, Producers","False",2017,8.5,14,"1",93,0,0,"Comedy"
"Lady Bird",90,"Scott Rudin, Eli Bush and Evelyn O'Neill, Producers","False",2018,7.8,5,"1",99,0,0,"Comedy"
"Lawrence of Arabia",35,"Sam Spiegel, Producer","True",1963,8.3,10,"1",97,1,1,"Biography"
"Lenny",47,"Marvin Worth, Producer","False",1975,7.6,6,"1",100,0,0,"Biography"
"Letters from Iwo Jima",79,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers","False",2007,7.9,4,"1",91,0,0,"Drama"
"Life Is Beautiful",71,"Elda Ferri and Gianluigi Braschi, Producers","False",1999,8.6,7,"1",80,0,0,"Comedy"
"Life of Pi",85,"Gil Netter, Ang Lee and David Womark, Producers","False",2013,7.9,10,"1",87,1,0,"Drama"
"Lilies of the Field",36,"Ralph Nelson, Producer","False",1964,7.7,5,"0",100,1,0,"Drama"
"Lincoln",85,"Steven Spielberg and Kathleen Kennedy, Producers","False",2013,7.4,12,"1",90,1,0,"Biography"
"Lion",89,"Emile Sherman, Iain Canning and Angie Fielder, Producers","False",2017,8,6,"0",86,1,0,"Comedy"
"Little Miss Sunshine",79,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers","False",2007,7.8,4,"0",91,0,0,"Comedy"
"Lost in Translation",76,"Ross Katz and Sofia Coppola, Producers","False",2004,7.8,4,"1",95,0,0,"Drama"
"Love Story",43,"Howard G. Minsky, Producer","False",1971,6.9,7,"1",57,1,1,"Drama"
"M*A*S*H",43,"Ingo Preminger, Producer","False",1971,7.6,1,"1",87,0,0,"Comedy"
"Mad Max: Fury Road",88,"Doug Mitchell and George Miller, Producers","False",2016,8.1,10,"1",97,1,0,"Action"
"Manchester by the Sea",89,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers","False",2017,8.1,5,"1",96,1,0,"Drama"
"Mary Poppins",37,"Walt Disney and Bill Walsh, Producers","False",1965,7.8,12,"1",100,0,0,"Comedy"
"Master and Commander: The Far Side of the World",76,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers","False",2004,7.4,10,"1",85,1,0,"Action"
"Michael Clayton",80,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers","False",2008,7.3,7,"1",90,1,0,"Crime"
"Midnight Cowboy",42,"Jerome Hellman, Producer","True",1970,7.9,7,"1",90,1,0,"Drama"
"Midnight Express",51,"Alan Marshall and David Puttnam, Producers","False",1979,7.7,6,"1",95,1,1,"Biography"
"Midnight in Paris",84,"Letty Aronson and Stephen Tenenbaum, Producers","False",2012,7.7,4,"1",93,0,0,"Comedy"
"Milk",81,"Dan Jinks and Bruce Cohen, Producers","False",2009,7.6,8,"1",94,0,0,"Biography"
"Million Dollar Baby",77,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers","True",2005,8.1,7,"1",91,1,0,"Drama"
"Missing",55,"Edward Lewis and Mildred Lewis, Producers","False",1983,7.8,4,"0",97,1,0,"Biography"
"Mississippi Burning",61,"Frederick Zollo and Robert F. Colesberry, Producers","False",1989,7.8,7,"1",89,1,0,"Crime"
"Moneyball",84,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers","False",2012,7.6,6,"0",94,1,0,"Biography"
"Moonlight",89,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers","True",2017,7.9,7,"1",98,1,1,"Drama"
"Moonstruck",60,"Patrick Palmer and Norman Jewison, Producers","False",1988,7.1,6,"1",92,0,0,"Comedy"
"Munich",78,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers","False",2006,7.6,5,"1",78,0,0,"Drama"
"Mutiny on the Bounty",35,"Aaron Rosenberg, Producer","False",1963,7.2,14,"0",71,1,0,"Drama"
"My Fair Lady",37,"Jack L. Warner, Producer","True",1965,7.9,12,"1",96,0,0,"Drama"
"My Left Foot",62,"Noel Pearson, Producer","False",1990,7.9,5,"1",97,0,0,"Biography"
